type,content & title
kind/question,Workspace freezes since 5 17 0 Since every workspace Codenvy issue that starts freezing some point normaly experience first when being able save files more issue starts when following requests freeze pending After while most likely because reached limit pending requests request stuck pending state These file save requests triggered waiting longer Workspace will crash restart some time 
kind/question,Runtime Exception Message Can t find IClasspathEntry STDOUT 2017 equestProcessor ERROR oggingUncaughtExceptionHandler Runtime exception caught thread ServerSideRequestProcessor Message find IClasspathEntry path wsagent core project main java eclipse watcher FileWatcherService java STDOUT java lang RuntimeException find IClasspathEntry path wsagent core project main java eclipse watcher FileWatcherService java STDOUT eclipse plugin java testing AbstractJavaTestRunner getRuntimeException AbstractJavaTestRunner java STDOUT eclipse plugin java testing AbstractJavaTestRunner findCompilationUnitByPath AbstractJavaTestRunner java STDOUT eclipse plugin java testing AbstractJavaTestRunner detectTests AbstractJavaTestRunner java STDOUT eclipse testing server TestingRPCService handleTestDetection TestingRPCService java STDOUT eclipse core jsonrpc commons RequestHandlerManager OneToOneHandler handle RequestHandlerManager java STDOUT eclipse core jsonrpc commons RequestHandlerManager OneToOneHandler access 1000 RequestHandlerManager java STDOUT eclipse core jsonrpc commons RequestHandlerManager handle RequestHandlerManager java STDOUT eclipse core jsonrpc commons RequestDispatcher dispatch RequestDispatcher java STDOUT eclipse core jsonrpc commons JsonRpcMessageReceiver processRequest JsonRpcMessageReceiver java STDOUT eclipse core jsonrpc commons JsonRpcMessageReceiver lambda receive JsonRpcMessageReceiver java STDOUT java util concurrent ThreadPoolExecutor runWorker ThreadPoolExecutor java 1142 STDOUT java util concurrent ThreadPoolExecutor Worker ThreadPoolExecutor java STDOUT java lang Thread Thread java Reproduction Steps Import https github eclipse Edit FileWatcherService java Watch machine console version Container Linux CoreOS 1520 Ladybug version Version SNAPSHOT Revision 5231059555dc1838 Build Time 2017 
kind/bug,SPI branch Project is created without default commands Reproduction Steps java stack with default spring project Stay opened window until workspace will started commands explorer attention existing commands After click Refresh button commands displayed Expected behavior Observed behavior version Chrome Fedora 
kind/bug,CHE6 branch Wrong macros in the default maven command Related 6215 6734 6880 Reproduction Steps java stack with default spring project Commands explorer Click button Build goal opened list click twice Maven attention created command clean install current project relpath needs clean install current project path version branch Chrome Fedora Additional information Related selenium test NavigateToFileTest attachment 
kind/task,Testing of input output loading on openshift io instance should measure typical peak load workspace user this should perform next scenarios typycal loading Open readme file type more intensively some text about Also during test perform refactoring created early object peak loading Clone project https github eclipse Wizard Import from GITHUB widget terminal build project through maven after cloning Repeat during 
kind/bug,Project explorer cannot open any project if WORKDIR is not set to projects custom stack that docker image with WORKDIR projects Project explorer cannot access expand projects Reproduction Steps Create workspace based custom docker image with WORKDIR home user After importing project project cross browse project files from terminal cannot browse project from explorer Expanding project import project popup appears http error code network errors when accessing 
kind/task,Adapting existing selenium tests from editor intelligencecommand packages according to changes in SPI branch need rework next tests according changes CheckReplaceFeatureInEditorTest CheckRestoringOfSplitEditor CheckWorkingWithTabByUsingTabListTest CheckWorkingWithTabsByUsingContextMenuTest ContextMenuEditorTest SplitEditorFeatureTest CheckBasicFunctionalityInCommandsExplorerTest CommandsEditorTest PreviewUrlIntoCommandsEditorTest MacrosCommandsEditorTest AutocompleteCommandsEditorTest CheckIntelligenceCommandFromToolbarTest 
kind/bug,Link with editor feature should not pick up focus from editor Reproduction Steps Reproduction Steps Open some project Open some file from project Click button Link with editor feature Project Explorer Click editor Actual behavior Project Explorer pick focus from editor Expected behavior feature should find select FileNode mapped current active editor focus should stay editor like Desktop Eclipse Losing focus from editor this case annoying user broke some selenium tests version Fedora version SNAPSHOT 
kind/bug,Button Link with editor feature should be marked by blue color if it was activated Button Link with editor feature Project Explorer should marked blue color activated Reproduction Steps Open some project Open some file from project Click button Link with editor feature Project Explorer Expected behavior Link with editor feature activated should change color button mark activated state Project Explorer guess blue color same like Maximize panel button Project Explorer Actual behavior button color same version Fedora version SNAPSHOT 
kind/enhancement,Workspace Agent is slow to boot on macOs Running workspace agent quite slow especially when fast Which case environment macOs docker Reproduction Steps Start Eclipse workspace look time used workspace agent boot Running profiler shows that faster Some libraries Tomcat could removed jars from included file scanned Guice Singletons initialized startup some them have very costly constructor time could lazy initialization assemblies remove stuff from Tomcat 6174 Lazy init maven local repository plugin maven server 6178 Lazy init tika instance project service 6179 workspace agent avoid scan jars classes 6186 
kind/bug,Uncaught in promise TypeError Cannot read property length of undefined Error shown browser Reproduction Steps Access Open workspace Watch client side logs version ChromeOS 3112 Official Build Client version Version SNAPSHOT Revision c80b423fef3b82dd Build Time 2017 _app 9416 Uncaught promise TypeError Cannot read property length undefined _app 9416 _app 9418 eval _app 5020 anonymous _app 9416uVg _app 9418 anonymous _app 5020Promise resolved async _app 5020qVg _app 9414AFk _app 17539CFk _app 17541 anonymous _app 5020Promise resolved async _app 5020zFk _app 17539Edg _app 7643Mdg _app 7647 anonymous _app 5020Promise resolved async _app 5020Kdg _app 7646gdg _app 7630lB _app 830_8j _app 16417fak _app 16458Eq _app 464vq _app 455Iq _app 469Cq _app 462hq _app 442kq _app anonymous _app 444e _app 465setTimeout async _app 466xq _app 457zq _app _app 16416t9j _app 16431 anonymous _app 5020Promise resolved async _app 5020p9j _app 16429Ddg _app 7642Sdg _app 7651Rdg _app 7650H1j _app 16108K1j _app 16110DXh _app 11657GXh _app 11660NXh _app 11666HB _app _app anonymous _app 3259hq _app 442kq _app anonymous _app 444XMLHttpRequest send async _app 851SB _app 852qmj _app 14862pmj _app 14861L1j _app 16110G1j _app 16108Ddg _app 7642Sdg _app 7651Rdg _app 7650bYi _app 13906dYi _app 13908 anonymous _app 5020Promise resolved async _app 5020aYi _app 13906Ddg _app 7642Sdg _app 7651zog _app 8216Ddg _app 7642Sdg _app 7651mLg _app 9016Ddg _app 7642Sdg _app 7651jAi _app 13094Ddg _app 7642Hdg _app 7645vog _app 8212oog _app 8205Nmd _app 2056h _app _app 442kq _app anonymous _app 444Emd _app anonymous _app 20758 anonymous VM166 _app nocache anonymous _app nocache _app nocache anonymous _app nocache 7setInterval async _app nocache _app onScriptDownloaded _app nocache anonymous 4BF129B835CBA310BC967275F23A2FA1 cache 
kind/bug,After creating new folder via terminal folder displayed as well configured project in Project Explorer but should be mark as broken project Reproduction Steps Create folder terminal mkdir test Check Project Explore just created folder will displayed well configured blank project this wrong Refresh page Check Project Explore just created folder will displayed well broken project this 
kind/bug,Workspace sync from Project API should not add to workspace configuration detected projects Reproduction Steps Create start workspace terminal create folders with commands mkdir test1 mkdir test2 folder will shown project explorer broken project Select test1 folder configure blank project Restart your workspace After restarting only test1 must configured instead both projects configured blank 
kind/bug,Import new project from other client not IDE works wrong new project not represented in Project Explorer Reproduction Steps Create start workspace import project calling Project REST with curl replace with your curl http 32871 project import spring Origin http 8080 Accept Encoding gzip deflate Accept Language User Agent Mozilla Linux x86_64 AppleWebKit KHTML like Gecko Chrome 2987 Safari Content Type application json Accept application json Referer http 8080 wksp 8wst Connection keep alive data binary location https github samples java spring type parameters compressed project should represent Project Explorer After pressing projects shown correctly 
kind/task,New workspace details page manual testing need cover workspace details page manual testing feedbacks will attached with this issue stuff found https codenvy warning message about deleting workspace team visible stop workspace Stop button always with snapshot workspace name appears hover cursor Open buttons Teams After refreshing page team status workspace changes personal After moving from workspace team back button works wrong team workspaces there more hour idle timeout button Machines Links Settings links Machines work there aren tabs with this names workspace details There problem with changing keyboard Down keys Machines After pressing Down keys field loose focus Similar behavior type amount after first digit field loose focus machine always adds with projects Open link works wrong project settings doesn open after clicking name doesn change after workspace renaming copy https github codenvy legacy issues 1115 
kind/task,New workspace details page manual testing need test workspace details page This issue related with 5653 warning message about deleting workspace team visible fixed stop workspace Stop button always with snapshot fixed workspace name appears hover cursor Open buttons fixed Billing have problems with billing functionality Does works rows validation credit card creation form after filling form valid values Continue button still disabled user more fixed Teams After creating workspace from team team status changes personal After moving from workspace team back button works wrong reproduce because above Machines Links Settings links Machines work there aren tabs with this names workspace details fixed There problem with changing keyboard Down keys Machines After pressing Down keys field loose focus Similar behavior type amount after first digit field loose focus machine always adds with fixed There possibility change Edit Machine dialog 6153 comment projects Open link works wrong fixed project settings doesn open after clicking name fixed doesn change after workspace renaming fixed create project project button from Workspaces list there error message project with this name exists already 6153 comment fixed There possibility create project project button from Workspaces list 6153 comment fixed delete project from config then page will redirect Overview need Projects 6153 comment fixed After adding project there possibility config Need refresh page 6153 comment project save changes Save changes button still active 6153 comment fixed Variables There difference with variable name variables list environment variable dialog first case name second name 6153 comment Servers server referense does apply names with Upper cases symbols vide screencast 6153 comment Agents Unexpected reset agent slider Agent 6153 comment 
kind/question,Why is google and facebook in the factory extension recently facebook google calls within there techincal reason facebook google included here https github eclipse tree 5b373e6cf5bfeb16f278c4d750fe64361445eeb4 core main java eclipse factory 
kind/enhancement,Full text search should support pagination preventing crash freeze browser need ability search discrete pages have problem described 6126 temporary solutions just limit search result 6142 
kind/enhancement,Improve rh che CI job riuvshin recently created verify build against eclipe master branch HEAD Here some possible improvements Build server image eclipse server nightly centos rhche using artifact built build Dockerfile centos think that need push image docker Start OpenShift Docker container deploy there verify that started accessible codenvy infrastructure simple test create workspace using vert stack verify that terminal wsagent services started successfully 
kind/enhancement,Full text search should support pagination preventing crash freeze browser need ability search discrete pages have problem described 6126 temporary solutions just limit search result 6142 
kind/enhancement,Improve rh che CI job riuvshin recently created verify build against eclipe master branch HEAD Here some possible improvements Build server image eclipse server nightly centos rhche using artifact built build Dockerfile centos think that need push image docker Start OpenShift Docker container deploy there verify that started accessible codenvy infrastructure simple test create workspace using vert stack verify that terminal wsagent services started successfully 
kind/question,Validate email error for codenvy io eclipse core BadRequestException User mail king kspider forbidden codenvy auth server EmailValidator validateUserMail EmailValidator java there something worng with this method 
kind/bug,CI build success if CLI tests are failing have some failed tests that check tests green because tests finished with exit code actions make tests fail tests 
kind/task,Allowed workspace name length should be up to 100 chars currently only 20 is allowed Related osio issue openshiftio openshift osio there requirement with prefixing workspace name with github repository name Currently workspace name validated against following pattern which allows names chars GitHub repo name length chars with current validation would possible create workspaces with names based github repos 
kind/enhancement,Upgrade to the GWT 2 8 1 http gwtproject release notes html Release_Notes_2_8_1 
kind/bug,Swagger is inaccessible in Multiuser Che Reproduction Steps Login into Multiuser Swagger page http 8080 swagger Expected result page with Swagger opened browser Actual wrong result There redirection http 8080 dashboard page This issue related 5362 
kind/bug,Search is slow and crashes browser search seems ultra slow crash browser after minutes waiting results Reproduction Steps Download large project example from https github outeredge edge docker magento releases download Magento searching test amongst files version Chrome Ubuntu 
kind/bug,Php debugger does not open editor with debugging file in certain case Reproduction Steps Precondition Create workspace based stack Remove existed files create next files index with next content Copyright 2012 2017 rights reserved This program accompanying materials made available under terms Eclipse Public License which accompanies this distribution available http eclipse legal html Contributors initial implementation Copyright 2012 2017 rights reserved This program accompanying materials made available under terms Eclipse Public License which accompanies this distribution available http eclipse legal html Contributors initial implementation echo sayHello with content Copyright 2012 2017 rights reserved This program accompanying materials made available under terms Eclipse Public License which accompanies this distribution available http eclipse legal html Contributors initial implementation function sayHello name return Hello name Steps reproduce Create debug connection Edit debug configuration Launch just created command launch Wait notification like Remote debugger connected Open file breakpoint wait active state close file Open index file launch command with name debug script Command Palete Wait highlighter first position Open debugger panel click resume button Expected result file should opened highlighter should position Actual relsut file opened version Fedore Chrome browser Additional info usecase reproduces also with PhpProjectDebuggingTest 
kind/task,Fix depreciation in che selenium test WARNING Users codenvy selenium selenium test test java eclipse selenium CheckSimpleGwtAppTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium CheckSimpleGwtAppTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckBitnamiFactoryWithGitLabUrl java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium debugger CheckBreakPointStateTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckOpenFileFeatureTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium editor CheckRestoringOfSplitEditor java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CreateFactoryFromUiWithKeepDirTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CreateFactoryFromUiWithKeepDirTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium swagger SwaggerTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium refactor methods RenameVirtualMethodsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckBitnamiLaravelFactoryTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium workspaces WorkingWithNodeWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium workspaces WorkingWithNodeWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium workspaces WorkingWithNodeWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithPerUserCreatePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithPerUserCreatePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithPerUserCreatePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithPerUserCreatePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithUntilPolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithUntilPolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithUntilPolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithUntilPolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithUntilPolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CreateNamedFactoryFromDashBoard java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSparseCheckoutTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium CheckoutToRemoteBranchTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous ConvertToProjectFromConfigurationTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous ConvertToProjectFromConfigurationTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium GitCompareTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium GitCompareTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium GitCompareTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium GitCompareTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium GitCompareTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium projectexplorer PreviewHtmlFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium projectexplorer PreviewHtmlFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium projectexplorer PreviewHtmlFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium projectexplorer PreviewHtmlFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium projectexplorer PreviewHtmlFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium projectexplorer PreviewHtmlFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSvnCVSTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSvnCVSTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckBitnamiCodeIgniterFactory java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium CommitFilesTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium PullRequestPluginTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium PullRequestPluginTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckRunCommandFeatureTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckWsAgentAfterStopProcessTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckWsAgentAfterStopProcessTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSincePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSincePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSincePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSincePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckFactoryWithSincePolicyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckBitnamiSwiftFactory java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium CommitFilesByMultiSelectTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous CheckCreatingProjectInEmptyWsTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckWelcomePanelOnCodenvyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium factory CheckWelcomePanelOnCodenvyTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous ConvertToProjectWithPomFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium miscellaneous ConvertToProjectWithPomFileTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium debugger NodeJsDebugTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium debugger NodeJsDebugTest java deprecation driver been deprecated WARNING Users codenvy selenium selenium test test java eclipse selenium debugger NodeJsDebugTest java deprecation driver been deprecated 
kind/enhancement,code formatting check is very late Build fails code formatting error after almost done with build please move code formatting error earlier stage 
kind/question,Workspaces stuck consuming 100 CPU since 5 17 experimenting with seems been introduced that causes stuck indefinitely consuming when retrieving project file tree reliably reproduce this switching between where doesn happen where does process question main workspace process java openjdk amd64 java Dnop Djava util logging manager apache juli ClassLoaderLogManager Xms256m Xmx2048m Djava security file urandom Dche logs home user agent logs Dche logs level INFO Djuli logback configurationFile file home user agent conf tomcat logger Djdk ephemeralDHKeySize 2048 Djava protocol handler pkgs apache catalina webresources agentlib jdwp transport dt_socket address 4403 server suspend Dcom management jmxremote Dcom management jmxremote false Dcom management jmxremote authenticate false Dche local conf conf classpath home user agent conf java openjdk amd64 tools home user agent bootstrap home user agent tomcat juli Dcatalina base home user agent Dcatalina home home user agent Djava tmpdir home user agent temp apache catalina startup Bootstrap start happy provide access devs workspace question that helps debug issue Large project trees seem most affected 
kind/question,Eclipse che docker Run workspace agent connectivity issues disabled firewall ubuntu this command docker docker sock docker sock data eclipse start Specs Ubuntu 16Gb Diagnostics gives root imiadmin Latitude 5480 home imiadmin docker docker sock docker sock data eclipse start WARN Bound eclipse eclipse WARNING swap limit support INFO using docker native INFO config Generating configuration INFO config Customizing docker compose running container INFO start Preflight checks WARNING swap limit support disk port 8080 http AVAILABLE conn browser conn server INFO network eclipse INFO network Browser Workspace Agent localhost Connection failed INFO network Browser Workspace Agent Connection failed INFO network Server Workspace Agent External Connection failed INFO network Server Workspace Agent Internal Connection succeeded 
kind/question,unable to download Eclipse Che download setup Eclipse computer When docker eclipse start following error message docker eclipse start INFO Welcome Eclipse INFO INFO missing mandatory parameter INFO Mount docker sock accessing Docker with unix sockets INFO DOCKER_HOST Docker location unix INFO INFO Mount Syntax INFO Start with docker docker sock docker sock INFO INFO DOCKER_HOST Syntax INFO Start with docker DOCKER_HOST INFO INFO Possible root causes INFO Your admin granted permissions docker sock INFO passed user with values INFO Your firewall blocking ports accessing Docker daemon 
kind/question,Cannot add blank project in New Workspace wizard When blank project workspace Workspace wizard still requires specify 
kind/question,Projects in custom stack unclear projects custom stacks edit config custom stack project then after creating workspace from this that stack that project workspace This what added stack config projects source location type parameters mixins links problems name test project type blank path test project attributes Also Workspace page says SELECT STACK Choose your workspace runtime environment used build your projects Projects part workspace environment stacks Does this mean that project information ignored then 
kind/bug,Json Language server errors when you have multiple json files open and then close workspace and then reopen the workspace Json language server multiple errors when have multiple json files open then close workspace then reopen demo Reproduction Steps Open workspace with json language server enabled create json files leave them open editor Shut down workspace then open will errors version Sierra Diagnostics false Daemon docker sock Image eclipse nightly Version nightly Command info Parameters info Mounts data Users joshpinkney Documents info data instance data backup repo assembly sync unison chedir System Docker docker4mac Proxy HTTP_PROXY HTTPS_PROXY NO_PROXY local Internal CHE_VERSION nightly CHE_HOST CHE_INSTANCE Users joshpinkney Documents info instance CHE_CONFIG Users joshpinkney Documents info CHE_BACKUP Users joshpinkney Documents info backup CHE_REGISTRY version CHE_DEBUG false Detection Initialized false Image Registry IMAGE_INIT eclipse init nightly IMAGE_CHE eclipse server nightly IMAGE_COMPOSE docker compose IMAGE_TRAEFIK traefik BOOTSTRAP_IMAGE_ALPINE alpine BOOTSTRAP_IMAGE_CHEIP eclipse nightly UTILITY_IMAGE_CHEACTION eclipse action nightly UTILITY_IMAGE_CHEDIR eclipse nightly UTILITY_IMAGE_CHETEST eclipse test nightly UTILITY_IMAGE_CHEMOUNT eclipse mount nightly initialized 
kind/task,Code Actions don t get Diagnostic Found this issue during Need cherry pick commit into master 
kind/question,Unsupported major minor version 52 0 while running TestNG Tests tried TestNG Tests with have Java Installed machine because project demands Exception thread main java lang UnsupportedClassVersionError testng CheTestNGLauncher Unsupported major minor version java lang ClassLoader defineClass1 Native Method java lang ClassLoader defineClass ClassLoader java java security SecureClassLoader defineClass SecureClassLoader java java URLClassLoader defineClass URLClassLoader java java URLClassLoader access URLClassLoader java java URLClassLoader URLClassLoader java java URLClassLoader URLClassLoader java java security AccessController doPrivileged Native Method java URLClassLoader findClass URLClassLoader java java lang ClassLoader loadClass ClassLoader java misc Launcher AppClassLoader loadClass Launcher java java lang ClassLoader loadClass ClassLoader java launcher LauncherHelper checkAndLoadMain LauncherHelper java Test suite empty there possibility these test with JDK7 installed version Linux Mint Diagnostics WARNING swap limit supportINFO using docker nativeWARN Newer version availableCLI true Daemon docker sock Image eclipse Version Command info Parameters infoMounts data data data instance data backup repo assembly sync unison chedir setSystem Docker native Proxy setInternal CHE_VERSION CHE_HOST CHE_INSTANCE data instance CHE_CONFIG data CHE_BACKUP data backup CHE_REGISTRY version CHE_DEBUG false Detection Initialized trueImage Registry IMAGE_INIT eclipse init IMAGE_CHE eclipse server IMAGE_COMPOSE docker compose IMAGE_TRAEFIK traefik BOOTSTRAP_IMAGE_ALPINE alpine BOOTSTRAP_IMAGE_CHEIP eclipse UTILITY_IMAGE_CHEACTION eclipse action UTILITY_IMAGE_CHEDIR eclipse UTILITY_IMAGE_CHETEST eclipse test UTILITY_IMAGE_CHEMOUNT eclipse mount 0che CHE_HOST CHE_SINGLE_PORT false 
kind/question,Feature to add R script language Hello language based workspace centos7 
kind/bug,403 error page instead of GitHub authorization page in Multiuser Che Reproduction Steps Create open workspace Goto Profile Preferences window Click Generate upload GitHub button Expected result opens authorization window like follow Actual wrong result opens page with error content inside Screencast This issue related 5362 
kind/enhancement,LanguageServerLauncherTemplate waits 5 seconds even if unneccesary implementation LanguageServerLauncherTemplate waitCheckProcess there fixed second wait This wait should extended always enought example early return implemented when process ready have implemented branch will cherry pick when convenient 
kind/bug,WorkspaceService symbol is broken While integrating language server have noticed that WorkspaceService properly prefixing workspace relative path before looking applicable language servers have fixed problem branch will cherry pick master later 
kind/question,Integration for JavaScript Build Systems Eclipse integration build systems like JavaScript like other language build system used many large projects automate transpilation getting dependencies integration these Node build systems like gulp would ease workflow 
